id,title,T4_title_weight,T4_rank,T4_S_scale,T4_S_score
20191401,"

অগ্নিকাণ্ড রোধে রাজউক ও গণপূর্ত মন্ত্রণালয়ের আরো সতর্ক হওয়া উচিত : স্বাস্থ্যমন্ত্রী
",0.003640932632617399,30.0,0.5764633390882969,57.646333908829696
20190979,"
বাজার দর 
রোজার আগেই বেড়েছে মুদি পণ্য-মাছ গোশতের দাম
",0.003631295952867099,31.0,0.5747425175015519,57.47425175015519
20190922,"

 বিদ্যুতের দাম বৃদ্ধিতে সাধারণ গ্রাহকের ওপর চাপ পড়বে না : ওবায়দুল কাদের
",0.003631295952867099,31.0,0.5747425175015519,57.47425175015519
20190780,"
মামুনুল হকের মুক্তি দাবি  
বাংলাদেশ খেলাফত মজলিসের দেশব্যাপী মানববন্ধন
",0.003601970095192099,33.0,0.5695058000589719,56.95058000589719
20191351,"

বেইলি রোড ট্র্যাজেড : বাঁচার আকুতিতে মামাকে রকির শেষ ‘কল’
",0.0035783982004796,34.0,0.5652965675937666,56.52965675937666
20192062,"

মোগল আমলের মসজিদের সন্ধান মিলল মহাদেবপুরের হাতিমণ্ডলা গ্রামে
",0.0035440357967282997,35.0,0.5591604742836359,55.91604742836359
20045791,বার্ন হাসপাতালে আহতদের চিকিৎসায় স্বাস্থ্যমন্ত্রীকে প্রধান করে বোর্ড গঠন,0.0035404112361836996,36.0,0.558513236626141,55.85132366261411
20191344,"

বেইলি রোডের অগ্নিকাণ্ড : স্ত্রী-সন্তানসহ প্রাণ হারালেন উখিয়ার শাহজালাল
",0.0035334329911518997,37.0,0.5572671316398314,55.72671316398314
20191264,"

যুক্তরাষ্ট্রের প্রেসিডেন্ট নির্বাচনে রিপাবলিকান দলের নিকি হ্যালি ও ট্রাম্পের অবস্থান
",0.0035331189328678993,38.0,0.5572110502623645,55.72110502623645
20191123,"
বেইলি রোডে আগুন 
কাচ্চি ভাইয়ের ম্যানেজার ও চুমুকের দুই মালিক আটক
",0.0035018640562275993,39.0,0.5516298679664594,55.16298679664594
